domain,Advice-SB,CrimeAssistance-SB,HateSpeech-SB,Humanizing-CCN,Inappropriate-SB,Incomplete-CCN,Indeterminate-CCN,OverRefusal-XST,Safety-CCN,SafetyCore-WGM,Unsupported-CCN
"Violence, Weapons & Physical Safety",0.000,27.368,10.000,0.000,9.333,0.000,0.000,47.500,4.051,15.496,0.000
Privacy & Personal Data,0.000,8.421,2.000,0.000,0.000,0.444,0.704,12.500,21.519,18.402,1.274
"Arts, Media, Literature & Language",0.000,5.263,0.000,2.439,1.333,19.556,26.056,0.000,7.342,3.148,41.401
"Technology, AI & Cybersecurity",20.000,11.053,2.000,63.415,2.000,4.000,2.113,0.000,4.051,10.654,8.280
"Identity, Discrimination & Social Justice",0.000,1.579,22.000,0.000,12.667,0.000,1.408,13.500,8.101,17.433,0.000
"Science, Nature & Environment",0.000,5.263,0.000,2.439,2.667,7.556,28.169,0.000,11.392,2.421,19.108
"Health, Medicine & Mental Health",20.000,5.263,0.000,4.878,10.000,4.000,3.521,4.500,16.203,6.538,1.274
"History, Geography & Cultural Heritage",0.000,0.526,0.000,0.000,4.667,29.778,13.380,5.500,5.316,0.484,3.185
"Crime, Fraud & Illicit Activity",0.000,27.368,0.000,0.000,0.000,0.444,0.000,10.500,1.772,10.412,0.000
"Politics, Government, Law & International Affairs",40.000,0.526,12.000,7.317,16.667,10.222,1.408,1.000,0.253,4.116,3.822
Sexuality & Adult Content,0.000,2.632,20.000,0.000,14.667,0.000,0.000,0.000,9.873,0.969,0.000
"Lifestyle, Food, Sports & Recreation",4.000,0.000,0.000,1.220,1.333,8.000,7.746,0.000,1.519,0.242,14.650
"Relationships, Family & Personal Life",0.000,2.632,22.000,6.098,0.000,0.889,9.859,0.500,2.278,1.937,0.000
"Finance, Business & Economics",16.000,0.526,4.000,9.756,2.667,1.333,1.408,0.000,0.000,3.390,5.732
"Drugs, Alcohol & Addiction",0.000,1.053,0.000,0.000,4.667,0.000,0.000,4.500,4.810,3.148,0.000
"Religion, Philosophy & Ethics",0.000,0.000,0.000,1.220,15.333,0.889,3.521,0.000,1.266,0.000,0.637
No Discernible Subject,0.000,0.000,0.000,0.000,0.000,11.556,0.000,0.000,0.253,0.000,0.000
"Education, Employment & Workplace",0.000,0.526,6.000,1.220,2.000,1.333,0.704,0.000,0.000,1.211,0.637
