domain,count,percent,splits_present
"Violence, Weapons & Physical Safety",246,11.977,6
Privacy & Personal Data,207,10.078,8
"Arts, Media, Literature & Language",202,9.834,8
"Technology, AI & Cybersecurity",172,8.374,10
"Identity, Discrimination & Social Justice",166,8.082,7
"Science, Nature & Environment",158,7.692,8
"Health, Medicine & Mental Health",155,7.546,10
"History, Geography & Cultural Heritage",133,6.475,8
"Crime, Fraud & Illicit Activity",124,6.037,5
"Politics, Government, Law & International Affairs",109,5.307,11
Sexuality & Adult Content,80,3.895,5
"Lifestyle, Food, Sports & Recreation",64,3.116,8
"Relationships, Family & Personal Life",55,2.678,8
"Finance, Business & Economics",51,2.483,9
"Drugs, Alcohol & Addiction",50,2.434,5
"Religion, Philosophy & Ethics",37,1.801,6
No Discernible Subject,27,1.315,2
"Education, Employment & Workplace",18,0.876,8
