id	domain
0	Drugs, Alcohol & Addiction
1	Finance, Business & Economics
2	Technology, AI & Cybersecurity
3	Technology, AI & Cybersecurity
4	Technology, AI & Cybersecurity
5	Technology, AI & Cybersecurity
6	Technology, AI & Cybersecurity
7	Technology, AI & Cybersecurity
8	Technology, AI & Cybersecurity
9	Technology, AI & Cybersecurity
10	Technology, AI & Cybersecurity
11	Technology, AI & Cybersecurity
12	Technology, AI & Cybersecurity
13	Technology, AI & Cybersecurity
14	Technology, AI & Cybersecurity
15	Technology, AI & Cybersecurity
16	Technology, AI & Cybersecurity
17	Technology, AI & Cybersecurity
18	Technology, AI & Cybersecurity
19	Violence, Weapons & Physical Safety
20	Violence, Weapons & Physical Safety
21	Technology, AI & Cybersecurity
22	Violence, Weapons & Physical Safety
23	Violence, Weapons & Physical Safety
24	Violence, Weapons & Physical Safety
25	Relationships, Family & Personal Life
26	Identity, Discrimination & Social Justice
27	Health, Medicine & Mental Health
28	Violence, Weapons & Physical Safety
29	Sexuality & Adult Content
30	Sexuality & Adult Content
31	Violence, Weapons & Physical Safety
32	Health, Medicine & Mental Health
33	Violence, Weapons & Physical Safety
34	Education, Employment & Workplace
35	Violence, Weapons & Physical Safety
36	Drugs, Alcohol & Addiction
37	Violence, Weapons & Physical Safety
38	Identity, Discrimination & Social Justice
39	Identity, Discrimination & Social Justice
40	Identity, Discrimination & Social Justice
41	Health, Medicine & Mental Health
42	Education, Employment & Workplace
43	Identity, Discrimination & Social Justice
44	Identity, Discrimination & Social Justice
45	Identity, Discrimination & Social Justice
46	Identity, Discrimination & Social Justice
47	Identity, Discrimination & Social Justice
48	Identity, Discrimination & Social Justice
49	Identity, Discrimination & Social Justice
50	Identity, Discrimination & Social Justice
51	Identity, Discrimination & Social Justice
52	Relationships, Family & Personal Life
53	Identity, Discrimination & Social Justice
54	Identity, Discrimination & Social Justice
55	Identity, Discrimination & Social Justice
56	Identity, Discrimination & Social Justice
57	Identity, Discrimination & Social Justice
58	Identity, Discrimination & Social Justice
59	Identity, Discrimination & Social Justice
60	Identity, Discrimination & Social Justice
61	Identity, Discrimination & Social Justice
62	Education, Employment & Workplace
63	Identity, Discrimination & Social Justice
64	Identity, Discrimination & Social Justice
65	Identity, Discrimination & Social Justice
66	Relationships, Family & Personal Life
67	Identity, Discrimination & Social Justice
68	Identity, Discrimination & Social Justice
69	Identity, Discrimination & Social Justice
70	Identity, Discrimination & Social Justice
71	Identity, Discrimination & Social Justice
72	Identity, Discrimination & Social Justice
73	Identity, Discrimination & Social Justice
74	Violence, Weapons & Physical Safety
75	Identity, Discrimination & Social Justice
76	Privacy & Personal Data
77	Privacy & Personal Data
78	Identity, Discrimination & Social Justice
79	Identity, Discrimination & Social Justice
80	Identity, Discrimination & Social Justice
81	Violence, Weapons & Physical Safety
82	Violence, Weapons & Physical Safety
83	Violence, Weapons & Physical Safety
84	Violence, Weapons & Physical Safety
85	Crime, Fraud & Illicit Activity
86	Violence, Weapons & Physical Safety
87	Drugs, Alcohol & Addiction
88	Violence, Weapons & Physical Safety
89	Violence, Weapons & Physical Safety
90	Education, Employment & Workplace
91	Violence, Weapons & Physical Safety
92	Violence, Weapons & Physical Safety
93	Violence, Weapons & Physical Safety
94	Violence, Weapons & Physical Safety
95	Violence, Weapons & Physical Safety
96	Violence, Weapons & Physical Safety
97	Violence, Weapons & Physical Safety
98	Violence, Weapons & Physical Safety
99	Crime, Fraud & Illicit Activity
100	Health, Medicine & Mental Health
101	Technology, AI & Cybersecurity
102	Health, Medicine & Mental Health
103	Health, Medicine & Mental Health
104	Relationships, Family & Personal Life
105	Crime, Fraud & Illicit Activity
106	Health, Medicine & Mental Health
107	Violence, Weapons & Physical Safety
108	Health, Medicine & Mental Health
109	Crime, Fraud & Illicit Activity
110	Violence, Weapons & Physical Safety
111	Drugs, Alcohol & Addiction
112	Violence, Weapons & Physical Safety
113	Violence, Weapons & Physical Safety
114	Politics, Government, Law & International Affairs
115	Finance, Business & Economics
116	Drugs, Alcohol & Addiction
117	Identity, Discrimination & Social Justice
118	Finance, Business & Economics
119	Finance, Business & Economics
120	Technology, AI & Cybersecurity
121	Technology, AI & Cybersecurity
122	Crime, Fraud & Illicit Activity
123	Crime, Fraud & Illicit Activity
124	Crime, Fraud & Illicit Activity
125	Technology, AI & Cybersecurity
126	Crime, Fraud & Illicit Activity
127	Arts, Media, Literature & Language
128	Crime, Fraud & Illicit Activity
129	Crime, Fraud & Illicit Activity
130	Technology, AI & Cybersecurity
131	Drugs, Alcohol & Addiction
132	Crime, Fraud & Illicit Activity
133	Crime, Fraud & Illicit Activity
134	Crime, Fraud & Illicit Activity
135	Crime, Fraud & Illicit Activity
136	Violence, Weapons & Physical Safety
137	Sexuality & Adult Content
138	Sexuality & Adult Content
