latent_id,coconot_train,coconot_train_humanizing_requests,coconot_train_incomplete_requests,coconot_train_indeterminate_requests,coconot_train_requests_with_safety_concerns,coconot_train_unsupported_requests,sorrybench_bucket-assistance_with_crimes_or_torts,sorrybench_bucket-hate_speech_generation,sorrybench,sorrybench_wildguard,wildguard,wildguard,xstest
155,0,0,1,0,0,0,0,0,0,0,0,0,0
481,0,0,0,0,0,1,0,0,0,0,0,0,0
550,1,1,0,0,1,1,1,1,1,1,1,1,1
883,0,0,0,1,0,0,0,0,0,0,0,0,1
1003,0,0,1,0,0,0,0,0,0,0,0,0,0
1229,0,0,0,0,0,0,0,0,0,0,0,0,1
1779,1,1,0,0,1,0,1,1,1,1,1,1,1
1934,0,0,0,0,0,1,0,0,0,0,0,0,0
2032,1,0,0,0,1,0,0,0,0,0,0,0,0
2457,0,0,0,0,0,0,0,0,1,0,0,0,0
2506,1,0,0,1,1,1,0,0,0,0,0,0,0
3181,0,0,0,0,0,0,0,1,0,0,0,0,0
3834,0,0,0,0,0,1,0,0,0,0,0,0,0
5011,0,0,0,0,0,0,0,0,0,0,0,0,1
5176,1,1,0,0,1,0,1,1,1,1,1,1,1
5575,1,1,0,1,1,0,0,0,0,0,0,0,1
5638,0,1,0,0,0,1,1,0,0,0,1,1,1
5958,0,0,0,0,0,0,0,1,1,1,0,0,0
6768,0,0,0,1,0,1,1,1,1,1,1,1,0
7137,1,1,1,1,1,1,1,1,1,1,1,1,0
7784,0,0,1,0,0,0,0,0,0,0,0,0,0
8878,1,0,0,0,1,0,0,0,0,0,0,0,0
9329,0,0,1,0,0,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,1,1,1,1,1,1,0
10593,0,0,1,0,0,0,0,0,0,0,0,0,0
11313,0,0,0,0,0,0,1,0,0,1,1,1,0
11939,0,0,0,1,0,0,0,0,0,0,0,0,0
12122,0,0,1,0,0,0,0,0,0,0,0,0,0
12536,0,0,0,0,0,0,1,0,1,0,1,1,0
12872,0,0,0,0,0,0,0,0,0,0,0,0,1
13393,1,1,0,1,1,1,1,1,1,1,1,1,0
13439,0,1,0,1,0,0,0,0,0,0,0,0,0
13756,0,0,1,1,0,1,0,0,0,0,0,0,0
14020,0,0,0,0,0,0,0,0,0,1,0,0,1
14422,1,1,0,1,1,0,0,0,0,0,0,0,0
14488,0,0,1,0,0,0,0,0,0,0,0,0,0
14854,0,1,0,0,0,0,0,0,0,0,0,0,0
15410,0,0,1,0,0,0,0,1,0,0,0,0,0
